,Unnamed: 0,country,population,year,quarter,new_cases,percentage
584118,584118,Gibraltar,37631.0,2024,Q3,0.0,0.0
584119,584119,Gibraltar,37631.0,2024,Q4,0.0,0.0
620560,620560,Greece,10412481.0,2020,Q1,1332.0,0.0127923402693363
620561,620561,Greece,10412481.0,2020,Q2,2134.0,0.0204946352363091
620562,620562,Greece,10412481.0,2020,Q3,14777.0,0.1419162253453331
620563,620563,Greece,10412481.0,2020,Q4,121449.0,1.1663790791070832
620564,620564,Greece,10412481.0,2021,Q1,123224.0,1.1834259289404707
620565,620565,Greece,10412481.0,2021,Q2,167713.0,1.610692014708118
620566,620566,Greece,10412481.0,2021,Q3,221313.0,2.125458860381114
620567,620567,Greece,10412481.0,2021,Q4,433145.0,4.159863533004286
620568,620568,Greece,10412481.0,2022,Q1,1856480.0,17.829372269682896
620569,620569,Greece,10412481.0,2022,Q2,686153.0,6.589716706325803
620570,620570,Greece,10412481.0,2022,Q3,901147.0,8.654488781300056
620571,620571,Greece,10412481.0,2022,Q4,494296.0,4.747149118447371
620572,620572,Greece,10412481.0,2023,Q1,238181.0,2.2874567550231304
620573,620573,Greece,10412481.0,2023,Q2,75498.0,0.725072151392161
620574,620574,Greece,10412481.0,2023,Q3,69132.0,0.6639339846094318
620575,620575,Greece,10412481.0,2023,Q4,164389.0,1.5787687871891436
620576,620576,Greece,10412481.0,2024,Q1,58188.0,0.5588293510451543
620577,620577,Greece,10412481.0,2024,Q2,19117.0,0.1835969736703481
620578,620578,Greece,10412481.0,2024,Q3,68681.0,0.6596026441728922
620579,620579,Greece,10412481.0,2024,Q4,35965.0,0.3454027911311434
657060,657060,Guernsey,63748.0,2020,Q1,55.0,0.0862772165401267
657061,657061,Guernsey,63748.0,2020,Q2,197.0,0.3090293028800903
657062,657062,Guernsey,63748.0,2020,Q3,5.0,0.0078433833218297
657063,657063,Guernsey,63748.0,2020,Q4,41.0,0.0643157432390035
657064,657064,Guernsey,63748.0,2021,Q1,523.0,0.8204178954633872
657065,657065,Guernsey,63748.0,2021,Q2,16.0,0.025098826629855
657066,657066,Guernsey,63748.0,2021,Q3,760.0,1.1921942649181152
657067,657067,Guernsey,63748.0,2021,Q4,6205.0,9.733638702390664
657068,657068,Guernsey,63748.0,2022,Q1,14455.0,22.67522118340968
657069,657069,Guernsey,63748.0,2022,Q2,4844.0,7.598669762188617
657070,657070,Guernsey,63748.0,2022,Q3,4208.0,6.600991403651879
657071,657071,Guernsey,63748.0,2022,Q4,2808.0,4.404844073539562
657072,657072,Guernsey,63748.0,2023,Q1,1118.0,1.753780510761122
657073,657073,Guernsey,63748.0,2023,Q2,91.0,0.1427495764573006
657074,657074,Guernsey,63748.0,2023,Q3,0.0,0.0
657075,657075,Guernsey,63748.0,2023,Q4,0.0,0.0
657076,657076,Guernsey,63748.0,2024,Q1,0.0,0.0
657077,657077,Guernsey,63748.0,2024,Q2,0.0,0.0
657078,657078,Guernsey,63748.0,2024,Q3,0.0,0.0
657079,657079,Guernsey,63748.0,2024,Q4,0.0,0.0
693500,693500,Hungary,9684306.0,2020,Q1,492.0,0.0050803846966421
693501,693501,Hungary,9684306.0,2020,Q2,3653.0,0.0377208237740525
693502,693502,Hungary,9684306.0,2020,Q3,22316.0,0.2304346847363146
693503,693503,Hungary,9684306.0,2020,Q4,296053.0,3.057038883323183
693504,693504,Hungary,9684306.0,2021,Q1,329919.0,3.4067386966087194
693505,693505,Hungary,9684306.0,2021,Q2,155695.0,1.6077042588286656
693506,693506,Hungary,9684306.0,2021,Q3,14577.0,0.1505218856157581
693507,693507,Hungary,9684306.0,2021,Q4,433710.0,4.478483021911947
693508,693508,Hungary,9684306.0,2022,Q1,595456.0,6.148669816918218
693509,693509,Hungary,9684306.0,2022,Q2,76254.0,0.7873976720686026
693510,693510,Hungary,9684306.0,2022,Q3,166017.0,1.7142890776065935
693511,693511,Hungary,9684306.0,2022,Q4,91674.0,0.9466243631706804
693512,693512,Hungary,9684306.0,2023,Q1,13330.0,0.1376453821265044
693513,693513,Hungary,9684306.0,2023,Q2,4025.0,0.0415620902520015
693514,693514,Hungary,9684306.0,2023,Q3,3140.0,0.032423593389139
693515,693515,Hungary,9684306.0,2023,Q4,20848.0,0.2152761385276343
693516,693516,Hungary,9684306.0,2024,Q1,3134.0,0.0323616374782044
693517,693517,Hungary,9684306.0,2024,Q2,192.0,0.0019825891499091
693518,693518,Hungary,9684306.0,2024,Q3,4224.0,0.0436169612980011
693519,693519,Hungary,9684306.0,2024,Q4,2705.0,0.0279317898463761
