,country,year,quarter,percentage,new_cases,positive_rate_trimestrale,total_cases,total_cases_percentage
110,France,2020,Q3,0.5583455793355359,370057.0,2.2900910299999997,388189.0,0.5857033162369104
111,France,2020,Q4,2.942282960595987,1950069.0,8.819747705434782,2338258.0,3.5279862768328973
112,France,2021,Q1,2.643410397497114,1751984.0,5.720209901111111,4090242.0,6.171396674330012
113,France,2021,Q2,2.113074360839557,1400491.0,5.011672988571428,5490733.0,8.284471035169569
114,France,2021,Q3,1.6934170573829888,1122353.0,2.059825188695652,6613086.0,9.977888092552558
115,France,2021,Q4,3.1637324643877163,2096840.0,3.126549677608696,8709926.0,13.141620556940273
116,France,2022,Q1,23.24596802301212,15406826.0,23.333100100000003,24116752.0,36.38758857995239
117,France,2022,Q2,8.267665913086649,5479595.0,22.20092612352941,29596347.0,44.655254493039045
118,France,2022,Q3,6.652691870346416,4409232.0,,34005579.0,51.30794636338546
119,France,2022,Q4,6.011049435665955,3983968.0,,37989547.0,57.31899579905142
120,Germany,2020,Q1,0.0759981765384933,63904.0,4.784918923076924,63904.0,0.07599817653849332
121,Germany,2020,Q2,0.1548874329337261,130239.0,3.241779765274725,194143.0,0.2308856094722194
122,Germany,2020,Q3,0.1107767612075547,93148.0,0.7473563738043478,287291.0,0.3416623706797741
123,Germany,2020,Q4,1.6327132666719215,1372887.0,6.777676342391304,1660178.0,1.9743756373516959
124,Germany,2021,Q1,1.3366695435547424,1123955.0,7.6592251,2784133.0,3.3110451809064383
125,Germany,2021,Q2,1.118606485713689,940594.0,6.4771243492307695,3724727.0,4.429651666620127
126,Germany,2021,Q3,0.5676030562341314,477276.0,4.0710621639130435,4202003.0,4.997254722854259
127,Germany,2021,Q4,3.3442337311170625,2812040.0,13.690799885869566,7014043.0,8.341488453971321
128,Germany,2022,Q1,16.11686993499102,13552068.0,43.818188444444445,20566111.0,24.45835838896234
129,Germany,2022,Q2,8.69527528336745,7311529.0,58.080797227848095,27877640.0,33.15363367232979
130,Germany,2022,Q3,6.0937303549875015,5123988.0,,33001628.0,39.247364027317296
131,Germany,2022,Q4,5.042809150625713,4240308.0,,37241936.0,44.290173177943004
132,Greece,2020,Q1,0.0127923402693363,1332.0,2.0559085341463414,1332.0,0.012792340269336384
133,Greece,2020,Q2,0.0204946352363091,2134.0,1.4873543552747253,3466.0,0.03328697550564558
134,Greece,2020,Q3,0.1419162253453331,14777.0,1.2379408202173914,18243.0,0.17520320085097874
135,Greece,2020,Q4,1.1663790791070832,121449.0,5.614425711956522,139692.0,1.341582279958062
136,Greece,2021,Q1,1.1834259289404707,123224.0,3.4762205522222223,262916.0,2.525008208898533
137,Greece,2021,Q2,1.610692014708118,167713.0,4.220340083516483,430629.0,4.1357002236066505
138,Greece,2021,Q3,2.125458860381114,221313.0,2.656016745652174,651942.0,6.261159083987764
139,Greece,2021,Q4,4.159863533004286,433145.0,1.5642018402173914,1085087.0,10.42102261699205
140,Greece,2022,Q1,17.829372269682896,1856480.0,6.499496318888888,2941567.0,28.250394886674947
141,Greece,2022,Q2,6.589716706325803,686153.0,5.579179875280898,3627720.0,34.84011159300074
142,Greece,2022,Q3,8.654488781300056,901147.0,,4528867.0,43.4946003743008
143,Greece,2022,Q4,4.747149118447371,494296.0,,5023163.0,48.24174949274818
144,Hungary,2020,Q1,0.0050803846966421,492.0,0.7185418819277108,492.0,0.005080384696642176
145,Hungary,2020,Q2,0.0377208237740525,3653.0,1.9867329057142857,4145.0,0.042801208470694754
146,Hungary,2020,Q3,0.2304346847363146,22316.0,2.378519484456522,26461.0,0.27323589320700936
147,Hungary,2020,Q4,3.057038883323183,296053.0,18.29819841304348,322514.0,3.330274776530192
148,Hungary,2021,Q1,3.4067386966087194,329919.0,14.208330026666665,652433.0,6.737013473138911
149,Hungary,2021,Q2,1.6077042588286656,155695.0,8.99239915065934,808128.0,8.344717731967577
150,Hungary,2021,Q3,0.1505218856157581,14577.0,1.339589167826087,822705.0,8.495239617583335
151,Hungary,2021,Q4,4.478483021911947,433710.0,16.06485705869565,1256415.0,12.973722639495284
152,Hungary,2022,Q1,6.148669816918218,595456.0,26.766546577777778,1851871.0,19.1223924564135
153,Hungary,2022,Q2,0.7873976720686026,76254.0,19.027895868085107,1928125.0,19.9097901284821
