country,year,cases,percentage_cases,vaccines,percentage_vaccines
Faroe Islands,2021,5161,9.55050981698403,37444,69.2906974592424
Faroe Islands,2022,28889,53.459538481467085,278,0.5144432724513777
Finland,2021,327023,5.8718880060129655,4275196,76.76362860029602
Finland,2022,1091346,19.595751637683666,248685,4.4652836918973104
Finland,2023,42257,0.7587489915696751,305,0.005476452242912438
Finland,2024,0,0.0,35,0.0006284453393506077
France,2020,2338258,3.5279862768328973,2007,0.0030281810038086583
France,2021,6371668,9.613634280107377,53227807,80.31062981155631
France,2022,29279621,44.17737524211115,1414026,2.1334960996968317
France,2023,1007943,1.5207941432595466,33224,0.050128692411828026
Germany,2020,1660177,1.9743744480963041,182500,0.2170391089489708
Germany,2021,5353865,6.367112816619626,62549049,74.38679375652336
Germany,2022,30227893,35.94868472397169,2108304,2.5073118989235668
Germany,2023,1195820,1.422135382264977,12020,0.014294849805844542
Gibraltar,2021,6748,17.932024129042546,40753,108.29635141239935
Gibraltar,2022,11772,31.282719034838298,1002,2.6626983072466848
Greece,2020,139692,1.341582279958062,1892,0.018170501343531865
Greece,2021,945395,9.079440337033988,7467030,71.71230372473188
Greece,2022,3938076,37.82072687575612,463026,4.44683644560792
Greece,2023,547200,5.255231678213867,4707,0.0452053646004252
Greece,2024,184802,1.7748123622026295,929,0.008921985067727855
Guernsey,2021,7504,11.77134968940202,26818,42.06877078496581
Guernsey,2022,26315,41.279726422789736,21254,33.34065382443371
Hungary,2021,933901,9.64344786296509,6136375,63.36411716027973
Hungary,2022,929401,9.596980929764094,154290,1.5931962496847993
Iceland,2020,5743,1.5098536154460944,0,0.0
Iceland,2021,18463,4.853983510705422,283366,74.4978547091238
Iceland,2022,183007,48.11314306145628,21529,5.660045009043873
Ireland,2021,662914,12.972843709008178,2109817,41.287898876186816
Ireland,2022,939715,18.389679243477463,171174,3.3497762138765594
Ireland,2023,36807,0.7202917096297015,3677,0.0719567641021657
Ireland,2024,23306,0.45608494538076516,754,0.014755344066639359
Isle of Man,2021,14987,17.81113329530329,64893,77.12136337706788
Isle of Man,2022,22642,26.908632819927742,770,0.9150979273626165
Italy,2020,2083689,3.4950020887599353,33476,0.056149785271855636
Italy,2021,3897739,6.537734732218226,48445813,81.2588719461845
Italy,2022,19187010,32.182652990469194,2442452,4.096760525057185
Italy,2023,1494001,2.5059097665771772,7788,0.013062926505472928
Jersey,2021,16689,16.125728310127254,41330,39.93506807223677
Jersey,2022,46368,44.80303015662896,2871,2.7741006638130115
Jersey,2023,607,0.586513097504179,27,0.026088720976297913
Kosovo,2021,110298,6.42032655199511,883919,51.45196309554992
Kosovo,2022,110838,6.451759364358684,22761,1.3248930411245963
Kosovo,2023,2042,0.11886259786373293,178,0.010361186297622166
Latvia,2020,36330,1.9313599049045802,2333,0.1240259470999831
Latvia,2021,235099,12.49823237773636,1311789,69.73676516088287
Latvia,2022,699090,37.16472325680547,32061,1.7044131547246284
Liechtenstein,2020,2223,5.651311775472849,0,0.0
Liechtenstein,2021,4067,10.339129550538946,26157,66.49633923123855
Liechtenstein,2022,15013,38.16605653853976,606,1.5405735204392923
Liechtenstein,2023,264,0.6711409395973155,8,0.02033760423022168
Lithuania,2020,145051,5.149272858815402,7338,0.26049709576623
Lithuania,2021,379375,13.467714051010288,1908054,67.73542185406625
Lithuania,2022,763996,27.121659740667297,38630,1.37135497539513
