country,measure,description,date_start,date_end
Austria,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-12-26,2021-02-07
Austria,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2021-11-15,2021-12-26
Austria,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2022-01-01,2022-01-31
Austria,StayHomeOrderPartial,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2020-11-03,2020-11-16
Austria,StayHomeOrderPartial,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2020-12-07,2020-12-25
Austria,StayHomeOrderPartial,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2021-02-08,2021-05-15
Austria,StayHomeOrderPartial,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown') - partially relaxed measure,2021-12-27,2021-12-31
Austria,Teleworking,Teleworking recommendation,2020-03-10,2022-03-05
Belgium,BanOnAllEvents,Interventions are in place to limit all indoor/outdoor mass/public gatherings,2020-10-29,2021-05-07
Belgium,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-05-18,2020-06-02
Belgium,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-11-12,2020-11-15
Belgium,ClosHigh,Closure of educational institutions: higher education.,2020-03-13,2020-08-19
Belgium,ClosHigh,Closure of educational institutions: higher education.,2020-11-12,2020-11-15
Belgium,ClosHighPartial,Closure of educational institutions: higher education - partially relaxed measure,2020-08-20,2020-11-11
Belgium,ClosHighPartial,Closure of educational institutions: higher education - partially relaxed measure,2020-11-16,2021-08-29
Belgium,ClosPrim,Closure of educational institutions: primary schools.,2020-03-13,2020-06-07
Belgium,ClosPrim,Closure of educational institutions: primary schools.,2020-11-12,2020-11-16
Belgium,ClosPrim,Closure of educational institutions: primary schools.,2021-03-29,2021-04-18
Belgium,ClosPrim,Closure of educational institutions: primary schools.,2021-12-20,2021-12-24
Belgium,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-13,2020-04-02
Belgium,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-04-03,2022-03-06
Belgium,ClosSec,Closure of educational institutions: secondary schools.,2020-03-13,2020-08-19
Belgium,ClosSec,Closure of educational institutions: secondary schools.,2020-11-12,2020-11-15
