ISO2,ISO3,country,measure,description,date_start,date_end
NO,NOR,Norway,ClosSec,Closure of educational institutions: secondary schools.,2020-03-12,2020-05-11
NO,NOR,Norway,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-12,2020-06-14
NO,NOR,Norway,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-10-12,2021-05-26
NO,NOR,Norway,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-07-15,2021-03-05
NO,NOR,Norway,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-03-29,2021-06-11
NO,NOR,Norway,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-11-05,2021-01-03
NO,NOR,Norway,Teleworking,Teleworking recommendation,2020-03-10,2021-06-17
PL,POL,Poland,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-12,2020-05-06
PL,POL,Poland,ClosHigh,Closure of educational institutions: higher education.,2020-03-12,2020-05-24
PL,POL,Poland,ClosPrim,Closure of educational institutions: primary schools.,2020-03-12,2020-05-24
PL,POL,Poland,ClosPrim,Closure of educational institutions: primary schools.,2020-11-10,2021-01-17
PL,POL,Poland,ClosPrim,Closure of educational institutions: primary schools.,2021-12-20,2022-01-09
PL,POL,Poland,ClosSec,Closure of educational institutions: secondary schools.,2020-03-12,2020-05-24
PL,POL,Poland,ClosSec,Closure of educational institutions: secondary schools.,2020-10-24,2021-05-14
PL,POL,Poland,ClosSec,Closure of educational institutions: secondary schools.,2021-12-20,2022-01-09
PL,POL,Poland,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-04-16,2020-05-29
PL,POL,Poland,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-10-10,2021-05-14
PL,POL,Poland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-10,2020-06-18
PL,POL,Poland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-07-17,2020-08-05
PL,POL,Poland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-10-23,2021-05-07
PL,POL,Poland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-05-28,2021-06-05
PL,POL,Poland,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-15,2022-03-27
PL,POL,Poland,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-04-20,2020-05-04
PL,POL,Poland,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-24,2020-04-19
PL,POL,Poland,Teleworking,Teleworking recommendation,2020-03-08,2022-02-28
PT,PRT,Portugal,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-17
PT,PRT,Portugal,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-01-22,2021-03-14
PT,PRT,Portugal,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-05-17
PT,PRT,Portugal,ClosHigh,Closure of educational institutions: higher education.,2021-01-22,2021-04-15
PT,PRT,Portugal,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-09-14
PT,PRT,Portugal,ClosPrim,Closure of educational institutions: primary schools.,2021-01-22,2021-03-14
PT,PRT,Portugal,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-13,2020-03-15
PT,PRT,Portugal,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-09-14
PT,PRT,Portugal,ClosSec,Closure of educational institutions: secondary schools.,2021-01-22,2021-04-04
PT,PRT,Portugal,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-10-28,2021-09-30
PT,PRT,Portugal,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-15,2021-05-02
PT,PRT,Portugal,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-02-27,2020-03-17
PT,PRT,Portugal,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-01-31,2021-06-28
PT,PRT,Portugal,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2021-05-01,2021-06-28
PT,PRT,Portugal,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-19,2020-05-02
PT,PRT,Portugal,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2021-01-15,2021-04-30
PT,PRT,Portugal,Teleworking,Teleworking recommendation,2020-03-19,2020-05-31
PT,PRT,Portugal,Teleworking,Teleworking recommendation,2021-01-15,2021-04-30
PT,PRT,Portugal,Teleworking,Teleworking recommendation,2021-12-25,2022-01-14
RO,ROU,Romania,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-06-14
RO,ROU,Romania,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-11-09,2020-12-23
RO,ROU,Romania,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-01-11,2021-02-07
RO,ROU,Romania,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-10-25,2021-11-05
RO,ROU,Romania,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-06-14
RO,ROU,Romania,ClosHigh,Closure of educational institutions: higher education.,2021-10-25,2021-11-05
RO,ROU,Romania,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-06-14
RO,ROU,Romania,ClosPrim,Closure of educational institutions: primary schools.,2020-11-09,2020-12-23
RO,ROU,Romania,ClosPrim,Closure of educational institutions: primary schools.,2021-01-11,2021-02-07
RO,ROU,Romania,ClosPrim,Closure of educational institutions: primary schools.,2021-10-25,2021-11-05
RO,ROU,Romania,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-18,2020-05-13
RO,ROU,Romania,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-06-01
RO,ROU,Romania,ClosSec,Closure of educational institutions: secondary schools.,2020-11-09,2020-12-23
RO,ROU,Romania,ClosSec,Closure of educational institutions: secondary schools.,2021-01-11,2021-02-07
RO,ROU,Romania,ClosSec,Closure of educational institutions: secondary schools.,2021-10-25,2021-11-05
RO,ROU,Romania,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-08-01,2021-05-14
RO,ROU,Romania,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-10-25,2022-03-08
RO,ROU,Romania,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-18,2021-05-31
RO,ROU,Romania,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-25,2020-08-16
RO,ROU,Romania,Teleworking,Teleworking recommendation,2020-03-16,2021-10-24
SK,SVK,Slovakia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-31
SK,SVK,Slovakia,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-06-09
SK,SVK,Slovakia,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-05-31
SK,SVK,Slovakia,ClosPrim,Closure of educational institutions: primary schools.,2020-10-26,2020-11-15
SK,SVK,Slovakia,ClosPrim,Closure of educational institutions: primary schools.,2021-01-11,2021-02-07
SK,SVK,Slovakia,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-05-31
SK,SVK,Slovakia,ClosSec,Closure of educational institutions: secondary schools.,2020-10-26,2020-11-15
SK,SVK,Slovakia,ClosSec,Closure of educational institutions: secondary schools.,2021-01-11,2021-02-07
SK,SVK,Slovakia,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-03-25,2020-06-09
SK,SVK,Slovakia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-10,2020-09-30
SK,SVK,Slovakia,Teleworking,Teleworking recommendation,2020-04-04,2021-04-17
SI,SVN,Slovenia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-12,2020-05-17
SI,SVN,Slovenia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-10-26,2021-02-02
SI,SVN,Slovenia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-04-01,2021-04-11
SI,SVN,Slovenia,ClosHigh,Closure of educational institutions: higher education.,2020-03-12,2020-10-14
SI,SVN,Slovenia,ClosHigh,Closure of educational institutions: higher education.,2020-10-24,2021-01-25
SI,SVN,Slovenia,ClosHigh,Closure of educational institutions: higher education.,2021-04-01,2021-04-25
SI,SVN,Slovenia,ClosPrim,Closure of educational institutions: primary schools.,2020-03-12,2020-05-17
SI,SVN,Slovenia,ClosPrim,Closure of educational institutions: primary schools.,2020-10-26,2021-02-14
SI,SVN,Slovenia,ClosPrim,Closure of educational institutions: primary schools.,2021-04-01,2021-04-11
SI,SVN,Slovenia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-14,2020-04-28
SI,SVN,Slovenia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2021-02-15,2021-03-19
SI,SVN,Slovenia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2021-04-01,2021-04-11
SI,SVN,Slovenia,ClosSec,Closure of educational institutions: secondary schools.,2020-03-12,2020-05-17
SI,SVN,Slovenia,ClosSec,Closure of educational institutions: secondary schools.,2020-06-01,2020-06-22
SI,SVN,Slovenia,ClosSec,Closure of educational institutions: secondary schools.,2020-10-19,2021-02-14
SI,SVN,Slovenia,ClosSec,Closure of educational institutions: secondary schools.,2021-04-01,2021-04-11
SI,SVN,Slovenia,ClosureOfPublicTransport,Closure of public transport,2020-03-14,2020-04-30
SI,SVN,Slovenia,ClosureOfPublicTransport,Closure of public transport,2020-11-16,2020-12-15
SI,SVN,Slovenia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-07,2020-06-14
SI,SVN,Slovenia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-10-17,
SI,SVN,Slovenia,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-04-04,2022-02-18
SI,SVN,Slovenia,Teleworking,Teleworking recommendation,2020-03-04,2022-05-14
SI,SVN,Slovenia,WorkplaceClosures,Closures of workplaces,2020-03-15,2020-05-04
ES,ESP,Spain,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-12,2020-08-27
ES,ESP,Spain,ClosHigh,Closure of educational institutions: higher education.,2020-03-14,2020-08-27
ES,ESP,Spain,ClosPrim,Closure of educational institutions: primary schools.,2020-03-12,2020-08-27
ES,ESP,Spain,ClosSec,Closure of educational institutions: secondary schools.,2020-03-12,2020-08-27
ES,ESP,Spain,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-03-30,2021-06-25
ES,ESP,Spain,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-12-24,2022-02-08
ES,ESP,Spain,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-14,2020-05-17
ES,ESP,Spain,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-12-23,2021-01-05
ES,ESP,Spain,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-03-17,2021-03-21
ES,ESP,Spain,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-03-26,2021-04-09
ES,ESP,Spain,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-05-15,2021-12-26
ES,ESP,Spain,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-12,2020-03-13
ES,ESP,Spain,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-14,2020-04-23
SE,SWE,Sweden,ClosHigh,Closure of educational institutions: higher education.,2020-03-17,2021-05-31
SE,SWE,Sweden,ClosSec,Closure of educational institutions: secondary schools.,2020-03-18,2020-06-15
SE,SWE,Sweden,ClosSec,Closure of educational institutions: secondary schools.,2020-12-07,2021-01-06
SE,SWE,Sweden,ClosSec,Closure of educational institutions: secondary schools.,2021-01-11,2021-04-01
SE,SWE,Sweden,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-12,2021-09-29
SE,SWE,Sweden,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-01-22,2022-03-31
SE,SWE,Sweden,Teleworking,Teleworking recommendation,2020-03-16,2022-03-31
CZ,CZE,Czechia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-11,2020-05-11
CZ,CZE,Czechia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-03-01,2021-04-11
CZ,CZE,Czechia,ClosHigh,Closure of educational institutions: higher education.,2020-03-11,2020-05-10
CZ,CZE,Czechia,ClosHigh,Closure of educational institutions: higher education.,2020-10-14,2021-05-23
CZ,CZE,Czechia,ClosPrim,Closure of educational institutions: primary schools.,2020-03-11,2020-05-10
CZ,CZE,Czechia,ClosPrim,Closure of educational institutions: primary schools.,2020-10-14,2020-11-17
CZ,CZE,Czechia,ClosPrim,Closure of educational institutions: primary schools.,2020-12-21,2021-04-11
CZ,CZE,Czechia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-04-23
CZ,CZE,Czechia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-10-14,2020-11-17
CZ,CZE,Czechia,ClosSec,Closure of educational institutions: secondary schools.,2020-03-11,2020-06-07
CZ,CZE,Czechia,ClosSec,Closure of educational institutions: secondary schools.,2020-10-12,2020-12-06
CZ,CZE,Czechia,ClosSec,Closure of educational institutions: secondary schools.,2020-12-21,2021-05-23
CZ,CZE,Czechia,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-03-19,2020-07-03
CZ,CZE,Czechia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-10,2022-03-01
CZ,CZE,Czechia,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-13,2020-06-30
CZ,CZE,Czechia,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2021-07-01,2022-04-08
CZ,CZE,Czechia,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-16,2020-04-24
CZ,CZE,Czechia,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-10-22,2020-11-03
CZ,CZE,Czechia,Teleworking,Teleworking recommendation,2020-10-22,
