ISO2,ISO3,country,measure,description,date_start,date_end
IE,IRL,Ireland,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-27,2020-05-17
IE,IRL,Ireland,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-10-21,2020-11-30
IE,IRL,Ireland,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-12-31,2021-04-11
IE,IRL,Ireland,Teleworking,Teleworking recommendation,2020-03-12,2021-11-03
IE,IRL,Ireland,Teleworking,Teleworking recommendation,2022-01-14,2022-01-30
IT,ITA,Italy,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-10,2020-06-10
IT,ITA,Italy,ClosHigh,Closure of educational institutions: higher education.,2020-03-10,2020-06-10
IT,ITA,Italy,ClosHigh,Closure of educational institutions: higher education.,2020-12-04,2021-01-15
IT,ITA,Italy,ClosPrim,Closure of educational institutions: primary schools.,2020-03-05,2020-09-06
IT,ITA,Italy,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-12-24,2021-01-06
IT,ITA,Italy,ClosSec,Closure of educational institutions: secondary schools.,2020-03-04,2020-06-16
IT,ITA,Italy,ClosSec,Closure of educational institutions: secondary schools.,2020-07-05,2020-09-14
IT,ITA,Italy,ClosSec,Closure of educational institutions: secondary schools.,2020-11-06,2021-01-06
IT,ITA,Italy,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-04-26,2020-07-14
IT,ITA,Italy,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-10-08,2021-06-27
IT,ITA,Italy,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-12-25,2022-02-10
IT,ITA,Italy,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-09,2020-06-11
IT,ITA,Italy,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-06,2022-04-30
IT,ITA,Italy,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-04,2020-03-10
IT,ITA,Italy,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-06-12,2021-04-30
IT,ITA,Italy,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-10-26,2020-11-04
IT,ITA,Italy,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-10,2020-05-04
IT,ITA,Italy,Teleworking,Teleworking recommendation,2020-03-12,2020-06-10
IT,ITA,Italy,Teleworking,Teleworking recommendation,2020-10-16,
LV,LVA,Latvia,ClosHigh,Closure of educational institutions: higher education.,2020-03-17,2020-08-31
LV,LVA,Latvia,ClosHigh,Closure of educational institutions: higher education.,2021-10-21,2021-11-14
LV,LVA,Latvia,ClosPrim,Closure of educational institutions: primary schools.,2020-03-17,2020-08-31
LV,LVA,Latvia,ClosPrim,Closure of educational institutions: primary schools.,2021-10-21,2021-10-29
LV,LVA,Latvia,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-17,2020-05-11
LV,LVA,Latvia,ClosSec,Closure of educational institutions: secondary schools.,2020-10-26,2021-04-06
LV,LVA,Latvia,ClosSec,Closure of educational institutions: secondary schools.,2021-10-21,2021-10-29
LV,LVA,Latvia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-08-01,2020-11-08
LV,LVA,Latvia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-10-21,2021-11-14
LV,LVA,Latvia,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-12,2020-05-11
LI,LIE,Liechtenstein,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-11
LI,LIE,Liechtenstein,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-06-08
LI,LIE,Liechtenstein,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-06-08
LI,LIE,Liechtenstein,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-10-24,2020-11-29
LI,LIE,Liechtenstein,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-12-20,2021-02-28
LI,LIE,Liechtenstein,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-06-08
LI,LIE,Liechtenstein,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-12-20,2021-07-04
LI,LIE,Liechtenstein,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-02-28,2020-07-02
LI,LIE,Liechtenstein,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-12-20,2021-05-23
LI,LIE,Liechtenstein,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-06-14,2021-08-15
LI,LIE,Liechtenstein,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-07-06,2022-02-17
LI,LIE,Liechtenstein,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-21,2020-05-18
LT,LTU,Lithuania,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-04-26
LT,LTU,Lithuania,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-05-24
LT,LTU,Lithuania,ClosHigh,Closure of educational institutions: higher education.,2020-11-07,2021-05-23
LT,LTU,Lithuania,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-05-24
LT,LTU,Lithuania,ClosPrim,Closure of educational institutions: primary schools.,2021-01-04,2021-05-31
LT,LTU,Lithuania,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-05-29
LT,LTU,Lithuania,ClosSec,Closure of educational institutions: secondary schools.,2020-11-07,2021-05-02
LT,LTU,Lithuania,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-04-10,2020-04-29
LT,LTU,Lithuania,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-11-07,2021-02-24
LT,LTU,Lithuania,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-12,2020-08-31
LT,LTU,Lithuania,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-10-30,2021-04-18
LT,LTU,Lithuania,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-06-02,2021-06-30
LT,LTU,Lithuania,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-17,2021-06-13
LT,LTU,Lithuania,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2020-12-16,2021-04-30
LT,LTU,Lithuania,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-16,2020-06-16
LT,LTU,Lithuania,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-11-07,2020-12-15
LT,LTU,Lithuania,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-12-16,2021-03-31
LT,LTU,Lithuania,Teleworking,Teleworking recommendation,2020-03-10,2020-11-06
LT,LTU,Lithuania,Teleworking,Teleworking recommendation,2021-07-01,2022-04-30
LU,LUX,Luxembourg,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-24
LU,LUX,Luxembourg,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-12-28,2021-01-10
LU,LUX,Luxembourg,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-05-24
LU,LUX,Luxembourg,ClosHigh,Closure of educational institutions: higher education.,2020-12-28,2021-01-10
LU,LUX,Luxembourg,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-05-24
LU,LUX,Luxembourg,ClosPrim,Closure of educational institutions: primary schools.,2021-01-04,2021-01-08
LU,LUX,Luxembourg,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-15,2020-03-15
LU,LUX,Luxembourg,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-05-10
LU,LUX,Luxembourg,ClosSec,Closure of educational institutions: secondary schools.,2021-01-04,2021-01-08
LU,LUX,Luxembourg,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-09,2020-03-16
LU,LUX,Luxembourg,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-09-22,2021-06-12
LU,LUX,Luxembourg,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2022-01-05,2022-02-11
