freq,unit,age,sex,isced11,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
A,NR,TOTAL,F,ED55,IE,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED55,IS,117 ,155 ,143 ,158 ,208 ,147 ,153 
A,NR,TOTAL,F,ED55,IT,2176 ,2982 ,3652 ,4612 ,5256 ,6102 ,7571 
A,NR,TOTAL,F,ED55,LI,: z,: z,: z,0 ,0 ,0 ,0 
A,NR,TOTAL,F,ED55,LT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,LU,355 ,427 ,435 ,455 ,450 ,505 ,482 
A,NR,TOTAL,F,ED55,LV,9058 ,8463 ,8926 ,9026 ,8705 ,8960 ,9425 
A,NR,TOTAL,F,ED55,ME,: z,: z,: z,: z,: z,: z,: 
A,NR,TOTAL,F,ED55,MK,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,MT,606 ,592 ,786 ,775 ,706 ,908 ,746 
A,NR,TOTAL,F,ED55,NL,11496 ,13021 ,13677 ,13587 ,16741 ,18401 ,22376 
A,NR,TOTAL,F,ED55,NO,1515 ,1451 ,1478 ,1561 ,1669 ,1966 ,2448 
A,NR,TOTAL,F,ED55,PL,268 ,176 ,196 e,180 ,165 e,376 ,980 
A,NR,TOTAL,F,ED55,PT,2306 ,4165 ,4753 ,5794 ,6756 ,6745 ,7015 
A,NR,TOTAL,F,ED55,RO,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,RS,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,SE,10061 ,10479 ,11478 ,13478 ,15645 ,18611 ,19522 
A,NR,TOTAL,F,ED55,SI,4606 ,4465 ,4134 ,4071 ,4106 ,4065 ,4082 
A,NR,TOTAL,F,ED55,SK,1767 ,1787 ,1727 ,1637 ,1547 ,1565 ,1590 
A,NR,TOTAL,F,ED55,TR,1087063 ,1220155 ,1344391 ,1418969 ,1526121 ,1608714 ,1682677 
A,NR,TOTAL,F,ED55,UK,65838 d,75739 d,79170 d,97937 d,: ,: ,: 
A,NR,TOTAL,F,ED6,AL,: ,: ,: ,: ,: ,43787 ,41492 
A,NR,TOTAL,F,ED6,AT,101469 ,103059 ,105293 ,105950 ,106078 ,111123 ,109724 
