freq,unit,icha11_hc,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,MIO_EUR,TOT_HC,DE,297961.00 ,309222.00 ,322775.00 ,338638.00 ,352397.00 ,370023.00 ,386123.00 ,407025.00 ,431941.00 ,466713.00 ,488677.00 ,486257.00 p
A,MIO_EUR,TOT_HC,DK,26786.62 ,26725.94 ,27397.37 ,28241.26 ,29023.33 ,29770.48 ,30528.07 ,31424.46 ,33372.86 ,36859.08 ,36066.82 ,35286.77 p
A,MIO_EUR,TOT_HC,EA19,: ,: ,1043901.52 ,1076721.40 ,1105752.11 ,1141999.90 ,1180098.54 ,1228193.69 ,1288614.50 p,1397308.97 p,1447988.73 p,: 
A,MIO_EUR,TOT_HC,EA20,: ,: ,1046809.30 ,1079749.18 ,1108935.83 ,1145327.66 ,1183659.15 ,1231978.70 ,1292511.65 p,1402028.76 p,1452921.91 p,: 
A,MIO_EUR,TOT_HC,EE,1092.03 ,1187.71 ,1275.47 ,1370.20 ,1457.63 ,1572.37 ,1735.20 ,1892.72 ,2081.59 ,2351.64 ,2528.00 ,2848.46 p
A,MIO_EUR,TOT_HC,EL,16811.38 ,15178.58 ,13986.42 ,14497.60 ,14742.57 ,14391.37 ,14580.52 ,15031.34 ,15716.46 ,16670.38 ,17562.40 ,: 
A,MIO_EUR,TOT_HC,ES,94407.53 ,92533.36 ,93830.60 ,98363.32 ,99729.02 ,104002.63 ,108330.28 ,113776.09 ,120093.31 ,126001.25 ,131114.07 ,: 
A,MIO_EUR,TOT_HC,EU27_2020,: ,: ,1178279.65 ,1215960.13 ,1249704.32 ,1293954.70 ,1337368.46 ,1393016.13 ,1463301.71 p,1591674.36 p,1648486.53 p,: 
A,MIO_EUR,TOT_HC,FI,19271.00 ,20034.38 ,20236.91 ,20388.59 b,20398.75 ,20653.82 ,21111.01 ,21998.37 ,22929.00 ,24651.76 p,25925.61 p,: 
A,MIO_EUR,TOT_HC,FR,235980.55 ,241272.98 ,247767.17 ,251497.43 ,256712.36 ,261211.06 ,264934.59 ,270562.47 ,279814.91 ,307567.68 ,313574.39 ,: 
A,MIO_EUR,TOT_HC,HR,: ,2855.23 ,2907.78 ,3027.78 ,3183.72 ,3327.75 ,3560.60 ,3785.01 ,3897.15 ,4719.79 ,4933.18 ,: 
