freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC_TOT,S13,GF07,TE,DK	16.1 	16.5 	16.4 	16.9 	16.8 	18.3 	17.7 
A,PC_TOT,S13,GF07,TE,EA19	15.0 	15.0 	15.1 	15.1 	15.3 	15.8 	15.6 
A,PC_TOT,S13,GF07,TE,EA20	15.0 	15.0 	15.1 	15.1 	15.3 	15.8 	15.6 
A,PC_TOT,S13,GF07,TE,EE	13.7 	13.4 	13.8 	14.4 	14.6 	15.6 	15.0 
A,PC_TOT,S13,GF07,TE,EL	10.6 	11.2 	11.4 	11.9 	11.2 	11.6 	11.3 
A,PC_TOT,S13,GF07,TE,ES	14.3 	14.4 	14.3 	14.4 	14.7 	14.5 	14.6 p
A,PC_TOT,S13,GF07,TE,EU27_2020	14.8 	14.8 	14.9 	15.0 	15.2 	15.7 	15.5 
A,PC_TOT,S13,GF07,TE,FI	12.9 	13.1 	13.3 	13.4 	13.3 	13.9 	13.9 
A,PC_TOT,S13,GF07,TE,FR	14.3 	14.4 	14.4 	14.4 	14.4 	15.6 p	15.6 p
A,PC_TOT,S13,GF07,TE,HR	14.4 	15.3 	15.3 	15.7 	16.2 	17.2 	17.1 
A,PC_TOT,S13,GF07,TE,HU	10.1 	10.0 	10.1 	9.8 	12.4 	11.7 	9.1 
A,PC_TOT,S13,GF07,TE,IE	18.6 	19.0 	19.1 	19.6 	20.2 	21.4 	23.1 
A,PC_TOT,S13,GF07,TE,IS	15.8 	17.0 	17.7 	18.0 	16.9 	18.0 	18.2 
A,PC_TOT,S13,GF07,TE,IT	14.1 	14.0 	14.1 	14.0 	13.8 	13.2 	12.7 
A,PC_TOT,S13,GF07,TE,LT	13.9 	13.8 	14.1 	14.5 	13.8 	15.6 	14.2 
A,PC_TOT,S13,GF07,TE,LU	11.9 	12.1 	12.1 	12.0 	12.3 	12.6 	12.2 
A,PC_TOT,S13,GF07,TE,LV	9.8 	9.2 	10.2 	10.9 	11.0 	14.1 	11.8 
A,PC_TOT,S13,GF07,TE,MT	14.6 	14.8 	14.1 	14.4 	15.5 	15.2 	14.1 
A,PC_TOT,S13,GF07,TE,NL	16.6 	17.2 	17.4 	17.5 	17.4 	18.4 	17.3 
A,PC_TOT,S13,GF07,TE,NO	16.7 	16.7 	16.8 	16.9 	16.5 	17.7 	17.5 
A,PC_TOT,S13,GF07,TE,PL	11.3 	11.3 	11.6 	11.7 	11.1 	13.1 	12.0 
A,PC_TOT,S13,GF07,TE,PT	13.6 	13.8 	14.9 	15.3 	15.2 	16.0 	16.2 p
A,PC_TOT,S13,GF07,TE,RO	11.7 	13.0 	13.4 	13.7 	13.1 	13.7 	12.2 
A,PC_TOT,S13,GF07,TE,SE	14.0 	14.1 	14.2 	14.4 	14.2 	14.9 	14.6 
A,PC_TOT,S13,GF07,TE,SI	14.5 	14.9 	15.0 	15.3 	15.6 	16.6 	16.2 
A,PC_TOT,S13,GF07,TE,SK	17.5 	13.9 	13.9 	14.2 	13.6 	15.2 	15.2 
