freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,CZ06	1014 	980.2 	913.27 	980.07 	909.98 	927.14 	930.71 	921.65 	1024.98 	1076.03 
A,RT,F,TOTAL,A-R_V-Y,CZ07	1033.71 	1050.07 	969.69 	1022.47 	949.05 	995.47 	947.02 	920.09 	1084.58 	1113.72 
A,RT,F,TOTAL,A-R_V-Y,CZ08	1149.86 	1127.54 	1092.33 	1112 	1039.42 	1052.92 	1049.37 	1017.21 	1155.51 	1211.37 
A,RT,F,TOTAL,A-R_V-Y,DE	879.11 	890.72 	840.85 	876.31 	837.39 	845.37 	853.59 	821.26 	837.16 	854.23 
A,RT,F,TOTAL,A-R_V-Y,DE1	819.59 	815.42 	781.18 	829.08 	779.89 	785.46 	797.71 	775.21 	781.04 	784.27 
A,RT,F,TOTAL,A-R_V-Y,DE11	816.74 	812.22 	768.84 	814.68 	767.17 	777.99 	788.18 	756.75 	771.63 	775.59 
A,RT,F,TOTAL,A-R_V-Y,DE12	839.62 	834.24 	803.7 	856.48 	808.36 	812.01 	824.19 	810.5 	798.48 	803.64 
A,RT,F,TOTAL,A-R_V-Y,DE13	801.55 	813.43 	793.12 	827.5 	773.67 	779.52 	796.27 	777.25 	788.67 	784.49 
A,RT,F,TOTAL,A-R_V-Y,DE14	818.1 	795.68 	758.94 	820.72 	771.5 	768.15 	779.67 	759.07 	766.38 	774.64 
A,RT,F,TOTAL,A-R_V-Y,DE2	864.5 	861.53 	817.63 	862.33 	806.99 	827.09 	821.77 	802.44 	827.03 	839.04 
A,RT,F,TOTAL,A-R_V-Y,DE21	815.49 	815.6 	769.8 	809.97 	758.71 	781.89 	766 	756.78 	774.5 	778.88 
A,RT,F,TOTAL,A-R_V-Y,DE22	917.42 	897.96 	885.97 	929.62 	871.29 	884.48 	857.37 	848.54 	892.67 	927.33 
A,RT,F,TOTAL,A-R_V-Y,DE23	926.27 	923.21 	872.33 	905.97 	866.8 	868.28 	887.8 	852.69 	901.21 	906.2 
A,RT,F,TOTAL,A-R_V-Y,DE24	928.05 	913.87 	873.76 	926.31 	882.94 	890.16 	878.95 	840.7 	885.8 	901.02 
A,RT,F,TOTAL,A-R_V-Y,DE25	874.92 	885.65 	848.15 	900.82 	833.79 	868.54 	862.45 	851.32 	869.9 	879.31 
A,RT,F,TOTAL,A-R_V-Y,DE26	869.54 	876.03 	807.79 	859.82 	791.5 	827.02 	837.82 	789.36 	796.13 	830.19 
A,RT,F,TOTAL,A-R_V-Y,DE27	852.86 	841.36 	794.32 	839.2 	780.35 	790.58 	803.61 	791.44 	812.36 	817.42 
A,RT,F,TOTAL,A-R_V-Y,DE3	873.58 	862.88 	821.51 	847.51 	819.93 	818.24 	851.8 	793.22 	829.25 	811.05 
A,RT,F,TOTAL,A-R_V-Y,DE30	873.58 	862.88 	821.51 	847.51 	819.93 	818.24 	851.8 	793.22 	829.25 	811.05 
A,RT,F,TOTAL,A-R_V-Y,DE4	886.49 	911.13 	857.97 	872.31 	843.68 	851.7 	860.28 	807.2 	829.75 	869.39 
A,RT,F,TOTAL,A-R_V-Y,DE40	886.49 	911.13 	857.97 	872.31 	843.68 	851.7 	860.28 	807.2 	829.75 	869.39 
A,RT,F,TOTAL,A-R_V-Y,DE5	875.07 	900.81 	857.16 	869.88 	868.05 	854.23 	883.98 	818 	858.8 	840.99 
A,RT,F,TOTAL,A-R_V-Y,DE50	875.07 	900.81 	857.16 	869.88 	868.05 	854.23 	883.98 	818 	858.8 	840.99 
A,RT,F,TOTAL,A-R_V-Y,DE6	864.35 	858.08 	824.54 	854.54 	817 	809.89 	841.68 	790.45 	811.99 	827 
A,RT,F,TOTAL,A-R_V-Y,DE60	864.35 	858.08 	824.54 	854.54 	817 	809.89 	841.68 	790.45 	811.99 	827 
A,RT,F,TOTAL,A-R_V-Y,DE7	862.54 	881.52 	816.39 	866.45 	819.27 	829.96 	838.12 	811.23 	827.23 	836.53 
A,RT,F,TOTAL,A-R_V-Y,DE71	852.04 	867.39 	802.91 	852.22 	800.66 	808.72 	812.76 	794.52 	805.05 	815.6 
A,RT,F,TOTAL,A-R_V-Y,DE72	880.23 	887.55 	847.48 	890.32 	837.54 	881.25 	875.12 	852.8 	864.51 	867.17 
A,RT,F,TOTAL,A-R_V-Y,DE73	878.08 	914.12 	828.55 	887.44 	856.98 	848.88 	881.55 	826.62 	861.26 	872.98 
A,RT,F,TOTAL,A-R_V-Y,DE8	899.79 	934.51 	845.18 	869.51 	854.81 	833.78 	871.03 	840.83 	828.4 	881.86 
A,RT,F,TOTAL,A-R_V-Y,DE80	899.79 	934.51 	845.18 	869.51 	854.81 	833.78 	871.03 	840.83 	828.4 	881.86 
A,RT,F,TOTAL,A-R_V-Y,DE9	884.98 	912.78 	858.65 	889.56 	868.15 	871.45 	887.95 	845.24 	842.44 	854.22 
A,RT,F,TOTAL,A-R_V-Y,DE91	865.86 	905.56 	862.18 	883.76 	879 	884.85 	900.76 	866.39 	852.58 	877.19 
A,RT,F,TOTAL,A-R_V-Y,DE92	876.72 	884.89 	846.44 	884.78 	838.09 	862.74 	875.29 	820.36 	824.34 	851.77 
A,RT,F,TOTAL,A-R_V-Y,DE93	905.39 	933.85 	861.38 	883.03 	874.95 	870.2 	884.61 	852.51 	845.97 	848.13 
A,RT,F,TOTAL,A-R_V-Y,DE94	892.76 	931.88 	866.49 	905.21 	886.83 	872.55 	895.1 	849.93 	851.77 	846.07 
A,RT,F,TOTAL,A-R_V-Y,DEA	902.9 	926.81 	870.2 	901.42 	869.37 	869.3 	896.2 	852.24 	862.97 	875.02 
A,RT,F,TOTAL,A-R_V-Y,DEA1	918.41 	951.77 	886.42 	921.74 	885.96 	889.88 	909.51 	860.85 	883.32 	891.55 
A,RT,F,TOTAL,A-R_V-Y,DEA2	894.41 	917.16 	859.2 	890.18 	847.06 	852.53 	883.24 	843.24 	843.44 	855.46 
A,RT,F,TOTAL,A-R_V-Y,DEA3	884.54 	902.81 	858.86 	867.62 	851.98 	858.92 	883.68 	842.85 	852.15 	871.09 
A,RT,F,TOTAL,A-R_V-Y,DEA4	843.6 	855.95 	815.2 	834.89 	828.09 	820.67 	839.21 	800.47 	807.25 	814.51 
A,RT,F,TOTAL,A-R_V-Y,DEA5	935.94 	958.42 	898.23 	945.32 	905.7 	893.32 	931.9 	885.88 	895.43 	911.45 
A,RT,F,TOTAL,A-R_V-Y,DEB	895.72 	901.27 	856.42 	887.55 	844.02 	860.68 	868.07 	847.18 	847.12 	851.15 
A,RT,F,TOTAL,A-R_V-Y,DEB1	913.12 	913.2 	890.38 	891.13 	879.75 	881.48 	871.69 	858.42 	862.81 	879.49 
