ISO3,year,month,day,vaccines,country
ALB,2021,6,19,511175.0,Albania
ALB,2021,6,20,515884.0,Albania
ALB,2021,6,21,519674.0,Albania
ALB,2021,6,22,525800.0,Albania
ALB,2021,6,23,532225.0,Albania
ALB,2021,6,24,537018.0,Albania
ALB,2021,6,25,537018.0,Albania
ALB,2021,6,26,537018.0,Albania
ALB,2021,6,27,537018.0,Albania
ALB,2021,6,28,547300.0,Albania
ALB,2021,6,29,556252.0,Albania
ALB,2021,6,30,564530.0,Albania
ALB,2021,7,1,567084.0,Albania
ALB,2021,7,2,569352.0,Albania
ALB,2021,7,3,569352.0,Albania
ALB,2021,7,4,571759.0,Albania
ALB,2021,7,5,574187.0,Albania
ALB,2021,7,6,576905.0,Albania
ALB,2021,7,7,579552.0,Albania
ALB,2021,7,8,582106.0,Albania
ALB,2021,7,9,584832.0,Albania
ALB,2021,7,10,587238.0,Albania
ALB,2021,7,11,587876.0,Albania
ALB,2021,7,12,590476.0,Albania
ALB,2021,7,13,592502.0,Albania
ALB,2021,7,14,594669.0,Albania
ALB,2021,7,15,596977.0,Albania
ALB,2021,7,16,599387.0,Albania
ALB,2021,7,17,601701.0,Albania
ALB,2021,7,18,602460.0,Albania
ALB,2021,7,19,602460.0,Albania
ALB,2021,7,20,609538.0,Albania
ALB,2021,7,21,616592.0,Albania
ALB,2021,7,22,624490.0,Albania
ALB,2021,7,23,624490.0,Albania
ALB,2021,7,24,624490.0,Albania
ALB,2021,7,25,640047.0,Albania
ALB,2021,7,26,640047.0,Albania
ALB,2021,7,27,640047.0,Albania
ALB,2021,7,28,640047.0,Albania
ALB,2021,7,29,660756.0,Albania
ALB,2021,7,30,665632.0,Albania
ALB,2021,7,31,670215.0,Albania
ALB,2021,8,1,672765.0,Albania
ALB,2021,8,2,677938.0,Albania
ALB,2021,8,3,683052.0,Albania
ALB,2021,8,4,687768.0,Albania
ALB,2021,8,5,693000.0,Albania
ALB,2021,8,6,693000.0,Albania
ALB,2021,8,7,693000.0,Albania
ALB,2021,8,8,706470.0,Albania
ALB,2021,8,9,706470.0,Albania
ALB,2021,8,10,720232.0,Albania
ALB,2021,8,11,720232.0,Albania
ALB,2021,8,12,720232.0,Albania
ALB,2021,8,13,742540.0,Albania
ALB,2021,8,14,742540.0,Albania
ALB,2021,8,15,750965.0,Albania
ALB,2021,8,16,757938.0,Albania
ALB,2021,8,17,764997.0,Albania
ALB,2021,8,18,764997.0,Albania
ALB,2021,8,19,776986.0,Albania
ALB,2021,8,20,776986.0,Albania
ALB,2021,8,21,785724.0,Albania
ALB,2021,8,22,787510.0,Albania
ALB,2021,8,23,792663.0,Albania
ALB,2021,8,24,797441.0,Albania
ALB,2021,8,25,802394.0,Albania
ALB,2021,8,26,807368.0,Albania
ALB,2021,8,27,812555.0,Albania
ALB,2021,8,28,812555.0,Albania
ALB,2021,8,29,818955.0,Albania
ALB,2021,8,30,824170.0,Albania
ALB,2021,8,31,830396.0,Albania
ALB,2021,9,1,836613.0,Albania
ALB,2021,9,2,844304.0,Albania
ALB,2021,9,3,844304.0,Albania
ALB,2021,9,4,844304.0,Albania
ALB,2021,9,5,844304.0,Albania
ALB,2021,9,6,865281.0,Albania
ALB,2021,9,7,872116.0,Albania
ALB,2021,9,8,879459.0,Albania
ALB,2021,9,9,885981.0,Albania
ALB,2021,9,10,890978.0,Albania
ALB,2021,9,11,895363.0,Albania
ALB,2021,9,12,896926.0,Albania
ALB,2021,9,13,900814.0,Albania
ALB,2021,9,14,904594.0,Albania
ALB,2021,9,15,908232.0,Albania
ALB,2021,9,16,911372.0,Albania
ALB,2021,9,17,914401.0,Albania
ALB,2021,9,18,914401.0,Albania
ALB,2021,9,19,918307.0,Albania
ALB,2021,9,20,921001.0,Albania
ALB,2021,9,21,923771.0,Albania
ALB,2021,9,22,926652.0,Albania
ALB,2021,9,23,929624.0,Albania
ALB,2021,9,24,932595.0,Albania
