ISO2,ISO3,country,year,month,day,deaths
AL,ALB,Albania,2020,11,7,543
AL,ALB,Albania,2020,11,8,549
AL,ALB,Albania,2020,11,9,557
AL,ALB,Albania,2020,11,10,559
AL,ALB,Albania,2020,11,11,571
AL,ALB,Albania,2020,11,12,579
AL,ALB,Albania,2020,11,13,590
AL,ALB,Albania,2020,11,14,598
AL,ALB,Albania,2020,11,15,605
AL,ALB,Albania,2020,11,16,612
AL,ALB,Albania,2020,11,17,623
AL,ALB,Albania,2020,11,18,631
AL,ALB,Albania,2020,11,19,637
AL,ALB,Albania,2020,11,20,646
AL,ALB,Albania,2020,11,21,657
AL,ALB,Albania,2020,11,22,672
AL,ALB,Albania,2020,11,23,685
AL,ALB,Albania,2020,11,24,699
AL,ALB,Albania,2020,11,25,716
AL,ALB,Albania,2020,11,26,735
AL,ALB,Albania,2020,11,27,743
AL,ALB,Albania,2020,11,28,753
AL,ALB,Albania,2020,11,29,771
AL,ALB,Albania,2020,11,30,787
AL,ALB,Albania,2020,12,1,798
AL,ALB,Albania,2020,12,2,810
AL,ALB,Albania,2020,12,3,822
AL,ALB,Albania,2020,12,4,839
AL,ALB,Albania,2020,12,5,852
AL,ALB,Albania,2020,12,6,870
AL,ALB,Albania,2020,12,7,889
AL,ALB,Albania,2020,12,8,905
AL,ALB,Albania,2020,12,9,922
AL,ALB,Albania,2020,12,10,936
AL,ALB,Albania,2020,12,11,951
AL,ALB,Albania,2020,12,12,965
AL,ALB,Albania,2020,12,13,977
AL,ALB,Albania,2020,12,14,989
AL,ALB,Albania,2020,12,15,1003
AL,ALB,Albania,2020,12,16,1016
AL,ALB,Albania,2020,12,17,1028
AL,ALB,Albania,2020,12,18,1040
AL,ALB,Albania,2020,12,19,1055
AL,ALB,Albania,2020,12,20,1066
AL,ALB,Albania,2020,12,21,1074
AL,ALB,Albania,2020,12,22,1088
AL,ALB,Albania,2020,12,23,1098
AL,ALB,Albania,2020,12,24,1111
AL,ALB,Albania,2020,12,25,1117
AL,ALB,Albania,2020,12,26,1125
AL,ALB,Albania,2020,12,27,1134
AL,ALB,Albania,2020,12,28,1143
AL,ALB,Albania,2020,12,29,1153
AL,ALB,Albania,2020,12,30,1164
AL,ALB,Albania,2020,12,31,1170
AL,ALB,Albania,2021,1,1,1174
AL,ALB,Albania,2021,1,2,1181
AL,ALB,Albania,2021,1,3,1186
AL,ALB,Albania,2021,1,4,1190
AL,ALB,Albania,2021,1,5,1193
AL,ALB,Albania,2021,1,6,1199
AL,ALB,Albania,2021,1,7,1210
AL,ALB,Albania,2021,1,8,1217
AL,ALB,Albania,2021,1,9,1223
AL,ALB,Albania,2021,1,10,1230
AL,ALB,Albania,2021,1,11,1233
AL,ALB,Albania,2021,1,12,1241
AL,ALB,Albania,2021,1,13,1247
AL,ALB,Albania,2021,1,14,1252
AL,ALB,Albania,2021,1,15,1256
AL,ALB,Albania,2021,1,16,1261
AL,ALB,Albania,2021,1,17,1265
AL,ALB,Albania,2021,1,18,1270
AL,ALB,Albania,2021,1,19,1277
AL,ALB,Albania,2021,1,20,1281
AL,ALB,Albania,2021,1,21,1287
AL,ALB,Albania,2021,1,22,1291
AL,ALB,Albania,2021,1,23,1296
AL,ALB,Albania,2021,1,24,1303
AL,ALB,Albania,2021,1,25,1310
AL,ALB,Albania,2021,1,26,1315
AL,ALB,Albania,2021,1,27,1324
AL,ALB,Albania,2021,1,28,1332
AL,ALB,Albania,2021,1,29,1339
AL,ALB,Albania,2021,1,30,1350
AL,ALB,Albania,2021,1,31,1358
AL,ALB,Albania,2021,2,1,1369
AL,ALB,Albania,2021,2,2,1380
AL,ALB,Albania,2021,2,3,1393
AL,ALB,Albania,2021,2,4,1398
AL,ALB,Albania,2021,2,5,1404
AL,ALB,Albania,2021,2,6,1418
AL,ALB,Albania,2021,2,7,1433
AL,ALB,Albania,2021,2,8,1446
AL,ALB,Albania,2021,2,9,1460
AL,ALB,Albania,2021,2,10,1472
AL,ALB,Albania,2021,2,11,1488
AL,ALB,Albania,2021,2,12,1503
AL,ALB,Albania,2021,2,13,1517
AL,ALB,Albania,2021,2,14,1531
AL,ALB,Albania,2021,2,15,1543
AL,ALB,Albania,2021,2,16,1555
AL,ALB,Albania,2021,2,17,1567
AL,ALB,Albania,2021,2,18,1582
AL,ALB,Albania,2021,2,19,1600
AL,ALB,Albania,2021,2,20,1617
AL,ALB,Albania,2021,2,21,1636
AL,ALB,Albania,2021,2,22,1653
AL,ALB,Albania,2021,2,23,1666
AL,ALB,Albania,2021,2,24,1681
AL,ALB,Albania,2021,2,25,1696
AL,ALB,Albania,2021,2,26,1715
AL,ALB,Albania,2021,2,27,1736
AL,ALB,Albania,2021,2,28,1756
AL,ALB,Albania,2021,3,1,1775
AL,ALB,Albania,2021,3,2,1796
AL,ALB,Albania,2021,3,3,1816
AL,ALB,Albania,2021,3,4,1835
AL,ALB,Albania,2021,3,5,1856
AL,ALB,Albania,2021,3,6,1876
AL,ALB,Albania,2021,3,7,1897
AL,ALB,Albania,2021,3,8,1918
AL,ALB,Albania,2021,3,9,1939
AL,ALB,Albania,2021,3,10,1956
AL,ALB,Albania,2021,3,11,1969
AL,ALB,Albania,2021,3,12,1986
AL,ALB,Albania,2021,3,13,2002
AL,ALB,Albania,2021,3,14,2018
AL,ALB,Albania,2021,3,15,2030
AL,ALB,Albania,2021,3,16,2045
AL,ALB,Albania,2021,3,17,2060
AL,ALB,Albania,2021,3,18,2077
AL,ALB,Albania,2021,3,19,2092
AL,ALB,Albania,2021,3,20,2106
AL,ALB,Albania,2021,3,21,2122
AL,ALB,Albania,2021,3,22,2133
AL,ALB,Albania,2021,3,23,2137
AL,ALB,Albania,2021,3,24,2145
AL,ALB,Albania,2021,3,25,2156
AL,ALB,Albania,2021,3,26,2171
AL,ALB,Albania,2021,3,27,2184
AL,ALB,Albania,2021,3,28,2192
AL,ALB,Albania,2021,3,29,2204
AL,ALB,Albania,2021,3,30,2210
AL,ALB,Albania,2021,3,31,2216
AL,ALB,Albania,2021,4,1,2227
AL,ALB,Albania,2021,4,2,2235
AL,ALB,Albania,2021,4,3,2241
AL,ALB,Albania,2021,4,4,2247
AL,ALB,Albania,2021,4,5,2256
AL,ALB,Albania,2021,4,6,2265
AL,ALB,Albania,2021,4,7,2274
AL,ALB,Albania,2021,4,8,2283
AL,ALB,Albania,2021,4,9,2291
AL,ALB,Albania,2021,4,10,2297
AL,ALB,Albania,2021,4,11,2304
AL,ALB,Albania,2021,4,12,2310
AL,ALB,Albania,2021,4,13,2317
AL,ALB,Albania,2021,4,14,2321
AL,ALB,Albania,2021,4,15,2326
AL,ALB,Albania,2021,4,16,2331
AL,ALB,Albania,2021,4,17,2335
AL,ALB,Albania,2021,4,18,2337
AL,ALB,Albania,2021,4,19,2340
AL,ALB,Albania,2021,4,20,2342
AL,ALB,Albania,2021,4,21,2347
AL,ALB,Albania,2021,4,22,2353
AL,ALB,Albania,2021,4,23,2358
AL,ALB,Albania,2021,4,24,2364
AL,ALB,Albania,2021,4,25,2367
AL,ALB,Albania,2021,4,26,2372
AL,ALB,Albania,2021,4,27,2378
AL,ALB,Albania,2021,4,28,2379
AL,ALB,Albania,2021,4,29,2383
AL,ALB,Albania,2021,4,30,2386
AL,ALB,Albania,2021,5,1,2389
AL,ALB,Albania,2021,5,2,2394
AL,ALB,Albania,2021,5,3,2396
AL,ALB,Albania,2021,5,4,2397
AL,ALB,Albania,2021,5,5,2399
AL,ALB,Albania,2021,5,6,2402
AL,ALB,Albania,2021,5,7,2403
AL,ALB,Albania,2021,5,8,2406
AL,ALB,Albania,2021,5,9,2408
AL,ALB,Albania,2021,5,10,2411
AL,ALB,Albania,2021,5,11,2412
AL,ALB,Albania,2021,5,12,2416
AL,ALB,Albania,2021,5,13,2420
AL,ALB,Albania,2021,5,14,2423
AL,ALB,Albania,2021,5,15,2426
AL,ALB,Albania,2021,5,16,2427
AL,ALB,Albania,2021,5,17,2429
AL,ALB,Albania,2021,5,18,2432
AL,ALB,Albania,2021,5,19,2435
AL,ALB,Albania,2021,5,20,2436
AL,ALB,Albania,2021,5,21,2438
AL,ALB,Albania,2021,5,22,2440
AL,ALB,Albania,2021,5,23,2441
AL,ALB,Albania,2021,5,24,2442
AL,ALB,Albania,2021,5,25,2444
AL,ALB,Albania,2021,5,26,2445
AL,ALB,Albania,2021,5,27,2447
AL,ALB,Albania,2021,5,28,2447
AL,ALB,Albania,2021,5,29,2447
AL,ALB,Albania,2021,5,30,2448
AL,ALB,Albania,2021,5,31,2449
AL,ALB,Albania,2021,6,1,2450
AL,ALB,Albania,2021,6,2,2451
AL,ALB,Albania,2021,6,3,2451
AL,ALB,Albania,2021,6,4,2451
AL,ALB,Albania,2021,6,5,2451
AL,ALB,Albania,2021,6,6,2451
AL,ALB,Albania,2021,6,7,2451
AL,ALB,Albania,2021,6,8,2451
AL,ALB,Albania,2021,6,9,2452
AL,ALB,Albania,2021,6,10,2452
AL,ALB,Albania,2021,6,11,2452
AL,ALB,Albania,2021,6,12,2452
AL,ALB,Albania,2021,6,13,2453
AL,ALB,Albania,2021,6,14,2453
AL,ALB,Albania,2021,6,15,2453
AL,ALB,Albania,2021,6,16,2453
AL,ALB,Albania,2021,6,17,2454
AL,ALB,Albania,2021,6,18,2454
AL,ALB,Albania,2021,6,19,2454
AL,ALB,Albania,2021,6,20,2454
AL,ALB,Albania,2021,6,21,2454
