country,year,deaths
Guernsey,2023,66.6054794520548
Guernsey,2024,67.0
Guernsey,2025,67.0
Hungary,2020,1246.099173553719
Hungary,2021,26398.427397260275
Hungary,2022,46019.756164383565
Hungary,2023,48780.120547945204
Hungary,2024,49063.161202185795
Hungary,2025,49117.0
Iceland,2020,10.066115702479339
Iceland,2021,30.986301369863014
Iceland,2022,108.82191780821918
Iceland,2023,186.0
Iceland,2024,186.0
Iceland,2025,186.0
Ireland,2020,1266.0027548209366
Ireland,2021,4927.5698630136985
Ireland,2022,7511.471232876713
Ireland,2023,9060.531506849315
Ireland,2024,9734.644808743169
Ireland,2025,9915.0
Isle of Man,2020,23.727272727272727
Isle of Man,2021,45.298630136986304
Isle of Man,2022,101.64109589041095
Isle of Man,2023,116.0
Isle of Man,2024,116.0
Isle of Man,2025,116.0
Italy,2020,28948.432506887053
Italy,2021,119266.8
Italy,2022,167184.79452054793
Italy,2023,190565.3616438356
Italy,2024,197719.52732240438
Italy,2025,199415.0
Jersey,2020,21.950413223140497
Jersey,2021,72.26575342465753
Jersey,2022,127.2
Jersey,2023,160.26849315068492
Jersey,2024,161.0
Jersey,2025,161.0
Kosovo,2020,317.5096418732782
Kosovo,2021,2282.956164383562
Kosovo,2022,3135.7342465753422
Kosovo,2023,3206.1726027397262
Kosovo,2024,3212.0
Kosovo,2025,3212.0
Latvia,2020,62.391184573002754
Latvia,2021,2645.4
Latvia,2022,6324.315068493151
Latvia,2023,7327.156164383561
Latvia,2024,7472.5901639344265
Latvia,2025,7475.0
Liechtenstein,2020,3.5013774104683195
Liechtenstein,2021,58.326027397260276
Liechtenstein,2022,82.23835616438356
Liechtenstein,2023,87.01917808219179
Liechtenstein,2024,88.86612021857924
Liechtenstein,2025,89.0
Lithuania,2020,163.3526170798898
Lithuania,2021,4473.5315068493155
Lithuania,2022,8983.78904109589
Lithuania,2023,9670.756164383562
Lithuania,2024,9816.543715846994
Lithuania,2025,9870.0
Luxembourg,2020,86.9228650137741
Luxembourg,2021,511.0712328767123
Luxembourg,2022,847.4356164383562
Luxembourg,2023,995.7041095890411
Luxembourg,2024,1000.0
Luxembourg,2025,1000.0
Malta,2020,31.628099173553718
Malta,2021,418.05205479452053
Malta,2022,737.5780821917808
Malta,2023,866.0712328767123
Malta,2024,961.9125683060109
Malta,2025,1009.0
Moldova,2020,816.9366391184573
Moldova,2021,6560.969863013699
Moldova,2022,11510.049315068492
Moldova,2023,12093.309589041095
Moldova,2024,12245.322404371585
Moldova,2025,12283.0
Monaco,2020,1.118457300275482
Monaco,2021,30.03835616438356
Monaco,2022,57.78082191780822
Monaco,2023,66.81643835616438
Monaco,2024,67.0
Monaco,2025,67.0
Montenegro,2020,86.92837465564739
Montenegro,2021,1468.3506849315067
Montenegro,2022,2541.750684931507
Montenegro,2023,2646.041095890411
Montenegro,2024,2654.0
Montenegro,2025,2654.0
Netherlands,2020,5074.674931129476
Netherlands,2021,17333.430136986302
Netherlands,2022,22298.553424657533
Netherlands,2023,22986.0
Netherlands,2024,22986.0
Netherlands,2025,22986.0
North Macedonia,2020,572.969696969697
North Macedonia,2021,5797.290410958904
North Macedonia,2022,9581.046575342465
North Macedonia,2023,9934.334246575343
North Macedonia,2024,9980.475409836066
North Macedonia,2025,9990.0
Norway,2020,197.5702479338843
Norway,2021,816.0520547945206
Norway,2022,3306.3671232876713
Norway,2023,5510.153424657534
Norway,2024,5732.0
Norway,2025,5732.0
Poland,2020,3884.413223140496
Poland,2021,66859.42739726027
Poland,2022,114821.08219178082
Poland,2023,119471.12602739726
Poland,2024,120756.20765027322
Poland,2025,120976.0
Portugal,2020,1672.7520661157025
Portugal,2021,16558.59726027397
Portugal,2022,23335.416438356166
Portugal,2023,26937.580821917807
Portugal,2024,28552.491803278688
Portugal,2025,29083.0
Romania,2020,3395.3471074380163
Romania,2021,33504.26301369863
Romania,2022,65240.01095890411
Romania,2023,68150.53698630138
Romania,2024,68841.21038251366
Romania,2025,68953.0
Russia,2020,13740.575757575758
Russia,2021,156602.46301369864
Russia,2022,373410.05479452055
Russia,2023,398672.5616438356
Russia,2024,402982.0
Russia,2025,404067.0
San Marino,2020,33.11845730027548
San Marino,2021,85.98356164383561
San Marino,2022,115.12602739726027
San Marino,2023,124.51506849315068
San Marino,2024,126.0
San Marino,2025,126.0
Serbia,2020,561.0275482093664
Serbia,2021,7197.739726027397
Serbia,2022,16052.827397260275
Serbia,2023,17976.408219178084
Serbia,2024,18057.0
Serbia,2025,18057.0
Slovakia,2020,183.64462809917356
Slovakia,2021,11125.643835616438
Slovakia,2022,19767.45479452055
Slovakia,2023,21120.832876712328
Slovakia,2024,21233.554644808744
Slovakia,2025,21268.0
Slovenia,2020,338.9862258953168
Slovenia,2021,4694.320547945205
Slovenia,2022,7777.18904109589
Slovenia,2023,9358.257534246575
Slovenia,2024,9888.773224043716
Slovenia,2025,9914.0
Spain,2020,25391.94490358127
Spain,2021,81028.4904109589
Spain,2022,109689.10410958904
Spain,2023,121262.10136986301
Spain,2024,121852.0
Spain,2025,121852.0
Sweden,2020,4087.5812672176307
Sweden,2021,14119.2
Sweden,2022,19177.31506849315
Sweden,2023,24520.109589041094
Sweden,2024,27527.612021857924
Sweden,2025,28423.0
Switzerland,2020,1827.236914600551
Switzerland,2021,10265.846575342466
Switzerland,2022,13268.564383561645
Switzerland,2023,14032.745205479452
Switzerland,2024,14170.0
Switzerland,2025,14170.0
Ukraine,2020,2246.68870523416
Ukraine,2021,47379.85753424658
Ukraine,2022,104978.2904109589
Ukraine,2023,109541.53424657535
Ukraine,2024,109921.1174863388
Ukraine,2025,109925.0
United Kingdom,2020,42976.1129476584
United Kingdom,2021,154147.38082191782
United Kingdom,2022,200229.2602739726
United Kingdom,2023,227335.39726027398
United Kingdom,2024,232112.0
United Kingdom,2025,232112.0
Vatican,2020,0.0
Vatican,2021,0.0
Vatican,2022,0.0
Vatican,2023,0.0
Vatican,2024,0.0
Vatican,2025,0.0
