country,year,cases
Denmark,2023,3412858.224657534
Denmark,2024,3438040.136612022
Denmark,2025,3445401.0
Estonia,2020,7595.98347107438
Estonia,2021,130816.30136986301
Estonia,2022,528783.2657534246
Estonia,2023,601038.1589041096
Estonia,2024,611098.1448087431
Estonia,2025,614124.0
Faroe Islands,2020,261.732782369146
Faroe Islands,2021,1333.3753424657534
Faroe Islands,2022,32158.394520547947
Faroe Islands,2023,34658.0
Faroe Islands,2024,34658.0
Faroe Islands,2025,34658.0
Finland,2020,9900.666666666666
Finland,2021,119719.21643835616
Finland,2022,1114731.9479452055
Finland,2023,1480499.1616438357
Finland,2024,1499712.0
Finland,2025,1499712.0
France,2020,412782.58126721764
France,2021,5374869.923287671
France,2022,28868356.369863015
France,2023,38810392.50410959
France,2024,38999785.95628415
France,2025,39013547.0
Germany,2020,308873.98898071627
Germany,2021,3740302.1260273973
Germany,2022,26260418.706849314
Germany,2023,38302046.94246575
Germany,2024,38437756.0
Germany,2025,38437756.0
Gibraltar,2020,313.66391184573
Gibraltar,2021,4991.021917808219
Gibraltar,2022,18015.652054794522
Gibraltar,2023,20514.27397260274
Gibraltar,2024,20550.0
Gibraltar,2025,20550.0
Greece,2020,21919.853994490357
Greece,2021,486906.4136986301
Greece,2022,3641838.9753424656
Greece,2023,5337285.482191781
Greece,2024,5668466.7677595625
Greece,2025,5755165.0
Guernsey,2020,194.5922865013774
Guernsey,2021,1507.7616438356165
Guernsey,2022,25337.024657534246
Guernsey,2023,35202.068493150684
Guernsey,2024,35326.0
Guernsey,2025,35326.0
Hungary,2020,42840.1129476584
Hungary,2021,756716.8602739726
Hungary,2022,1923626.191780822
Hungary,2023,2203790.1589041096
Hungary,2024,2232073.363387978
Hungary,2025,2237414.0
Iceland,2020,2207.33608815427
Iceland,2021,9459.145205479452
Iceland,2022,169130.41369863015
Iceland,2023,208772.79452054793
Iceland,2024,210251.29234972678
Iceland,2025,210749.0
Ireland,2020,28536.914600550965
Ireland,2021,325699.1397260274
Ireland,2022,1523130.8246575342
Ireland,2023,1713935.2876712328
Ireland,2024,1741930.3087431693
Ireland,2025,1752259.0
Isle of Man,2020,253.1763085399449
Isle of Man,2021,4528.542465753425
Isle of Man,2022,32640.835616438355
Isle of Man,2023,38008.0
Isle of Man,2024,38008.0
Isle of Man,2025,38008.0
Italy,2020,411214.70247933886
Italy,2021,4071350.8246575342
Italy,2022,18351744.816438355
Italy,2023,25916770.473972604
Italy,2024,26800551.284153007
Italy,2025,26958866.0
Jersey,2020,420.2121212121212
Jersey,2021,6917.1589041095895
Jersey,2022,51469.150684931505
Jersey,2023,66373.48767123287
Jersey,2024,66391.0
Jersey,2025,66391.0
Kosovo,2020,10645.798898071625
Kosovo,2021,115075.09589041096
Kosovo,2022,241346.31780821917
Kosovo,2023,273737.3698630137
Kosovo,2024,274279.0
Kosovo,2025,274279.0
Latvia,2020,3888.123966942149
Latvia,2021,141611.52328767124
Latvia,2022,792438.6547945206
Latvia,2023,975399.4
Latvia,2024,977749.9480874317
Latvia,2025,977765.0
Liechtenstein,2020,300.1129476584022
Liechtenstein,2021,3350.221917808219
Liechtenstein,2022,17014.91780821918
Liechtenstein,2023,21466.298630136986
Liechtenstein,2024,21586.60655737705
Liechtenstein,2025,21613.0
Lithuania,2020,13635.374655647383
Lithuania,2021,295862.3616438356
Lithuania,2022,1115344.610958904
Lithuania,2023,1322830.5041095892
Lithuania,2024,1390204.6803278688
Lithuania,2025,1419865.0
